link,content,support,seg,減稅_ind,基礎建設_ind,蘋果_ind,轉彎_ind,罵_ind,或許_ind,川普行情_ind,成長_ind,爽_ind,上演_ind,支持者_ind,iPhone_ind,500_ind,隊長_ind,不爽_ind,新興市場_ind,拉近_ind,推文_ind,報導_ind,噗_ind,買_ind,製造業_ind,推_ind,衰退_ind,雖然_ind,大盤_ind,遇到_ind,深價外_ind,國際_ind,PUT_ind,亂_ind,gg_ind,八年_ind,臺灣_ind,四年_ind,回流_ind,崩潰_ind,長城_ind,躺平_ind,恐慌_ind,QQ_ind
https://www.ptt.cc/bbs/Stock/M.1464852416.A.66C.html,由於美國有第三大黨要出候選人 分希拉蕊的票如果剛好就讓 川普當選的話 應該會對美股長期走勢有所影響而美股又連動整個世界股票的走勢 尤其台股最受影響因此對於美國的選舉對台股可是有非常正面的關係根據最近新聞川普他所表現出來的言論各位可以 分析美股與美國經濟的可能的趨勢嗎?--他都能要脅共和黨必須要讓他過提名 怎會不利用白種人威脅國會呢?兩萬點~,0,"[由, 於, 美國, 有, 第三, 大黨, 要, 出, 候選人,  , 分, 希拉蕊, 的, 票, 如果, 剛好, 就, 讓,  , 川普, 當選, 的話,  , 應該, 會, 對, 美股, 長, 期, 走勢, 有所, 影響, 而, 美股, 又, 連動, 整個, 世界, 股票, 的, 走勢,  , 尤其, 台股, 最受, 影響, 因此, 對, 於, 美國, 的, 選舉, 對, 台股, 可是, 有, 非常, 正面, 的, 關係, 根據, 最近, 新聞, 川普, 他, 所表現, 出來, 的, 言論, 各位, 可以,  , 分析, 美股, 與, 美國, 經濟, 的, 可能, 的, 趨勢, 嗎, ?, -, -, 他, 都, 能, 要脅, 共和黨, 必須, 要, 讓, 他過, 提名,  , 怎會, 不, 利用, 白種, ...]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,卻時常在鏡頭面前凸搥的川普如果當選美國總統,-1,"[卻, 時常, 在, 鏡頭, 面前, 凸, 搥, 的, 川普, 如果, 當選, 美國, 總統]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,桑默斯列舉五大理由解釋為何對川普如此憂心,-1,"[桑默斯, 列舉, 五大, 理由, 解釋, 為何, 對, 川普, 如此, 憂心]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,當中首要是川普亂無章法的政策風險,-1,"[當中, 首要, 是, 川普, 亂, 無, 章法, 的, 政策, 風險]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,如川普主張的減稅措施預估可能超過十兆美元,0,"[如, 川普, 主張, 的, 減稅, 措施, 預估, 可能, 超過, 十兆, 美元]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,3.心得/評論(必需填寫)：說真的川普當選機率沒那麼高,-1,"[3, ., 心得, /, 評論, (, 必需, 填寫, ), ：, 說, 真的, 川普, 當選, 機率, 沒, 那麼, 高]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.ptt.cc/bbs/Stock/M.1466687573.A.B16.html,美國共和黨總統準提名人川普（Donald Trump）3月10日在接受CNBC電視台專訪時指出,0,"[美國, 共和黨, 總統, 準, 提名, 人, 川普, （, Donald,  , Trump, ）, 3, 月, 10, 日, 在, 接受, CNBC, 電視台, 專訪, 時, 指出]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.ptt.cc/bbs/Stock/M.1466923177.A.C71.html,[閒聊]不是只有盤中或盤後才能用嗎？川普也破產過,0,"[[, 閒聊, ], 不是, 只有, 盤中, 或, 盤, 後, 才能, 用, 嗎, ？, 川普, 也, 破產過]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.ptt.cc/bbs/Stock/M.1466923177.A.C71.html,川普勝選機率或許不低喔,1,"[川普, 勝選, 機率, 或許, 不低, 喔]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.ptt.cc/bbs/Stock/M.1467001750.A.A90.html,加上國際政治情勢風波不斷、發言百無禁忌的地產大亨川普可能代表共和黨角逐白宮大位及英國退歐後之後續政治影響性等一連串變數,0,"[加上, 國際, 政治, 情勢, 風波, 不斷, 、, 發言百無, 禁忌, 的, 地產, 大亨, 川普, 可能, 代表, 共和黨, 角逐, 白宮, 大位, 及, 英國, 退歐, 後, 之後, 續, 政治, 影響性, 等, 一連串, 變數]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
